ProbeID X Y Z hemi
10_247 137.926544 104.888535 99.694763 lh
10_248 137.367538 105.59153 99.525757 lh
10_249 136.440536 105.741531 99.820755 lh
10_250 148.285538 107.739532 98.784744 lh
10_251 136.161545 106.453529 99.544754 lh
10_252 149.006546 108.895531 98.559753 lh
10_253 149.75354 109.470535 98.766754 lh
10_254 135.915543 107.069534 99.322754 lh
10_255 135.620544 108.004532 98.984756 lh
10_256 135.007538 108.934532 98.830765 lh
10_257 150.370544 110.902534 98.546753 lh
10_258 150.321548 109.902534 99.112747 lh
10_259 134.389542 109.512535 98.89476 lh
10_260 134.267548 110.055534 98.710754 lh
10_261 133.854538 109.725533 99.156754 lh
10_262 151.104538 111.870529 99.006744 lh
10_263 133.58255 110.61953 98.966766 lh
10_264 151.366547 112.821533 99.131744 lh
10_265 133.536545 111.415535 98.689758 lh
10_266 133.301544 111.274536 98.965759 lh
10_267 151.517548 114.459534 99.238754 lh
10_268 133.601547 111.802536 98.493759 lh
10_269 133.306549 111.73053 98.79776 lh
10_270 151.573547 114.787529 99.608749 lh
10_271 133.659546 112.514534 98.222763 lh
10_272 151.558548 115.511536 99.945755 lh
10_273 151.471542 115.581535 100.45575 lh
10_274 133.501541 113.673531 98.129761 lh
10_275 151.517548 116.130531 100.137756 lh
10_276 151.460541 116.754532 99.937744 lh
10_277 133.562546 114.624535 98.013763 lh
10_278 133.705536 115.539536 97.996765 lh
10_279 151.338547 117.736534 100.047745 lh
10_280 134.343536 115.923531 97.400757 lh
10_281 134.718536 116.676529 97.377762 lh
10_282 151.203537 118.423531 100.550751 lh
10_283 135.546539 117.056534 96.975754 lh
10_284 142.931549 120.36853 98.306763 lh
10_285 141.71254 120.185532 98.208755 lh
10_286 140.589539 120.117531 98.287766 lh
10_287 139.826538 119.765533 97.955765 lh
10_288 138.621536 119.248535 97.585754 lh
10_289 137.362549 118.823532 97.480759 lh
10_290 136.152542 117.858536 97.126755 lh
10_291 136.665543 118.527534 97.459763 lh
10_292 150.493546 120.097534 100.327759 lh
10_293 148.940536 120.628532 99.500748 lh
10_294 148.136551 120.636536 99.158752 lh
10_295 142.783539 121.009529 99.330765 lh
10_296 141.885544 120.77153 99.124756 lh
10_297 140.79454 120.526535 98.940765 lh
10_298 139.778549 120.267532 98.737762 lh
10_299 138.848541 119.961533 98.494766 lh
10_300 150.077545 120.693535 100.779755 lh
10_301 149.435547 120.909531 100.145752 lh
10_302 148.140549 121.231529 99.886765 lh
10_303 146.933548 121.318535 99.640762 lh
10_304 145.635544 121.484535 99.792755 lh
10_305 144.397537 121.495529 99.967758 lh
10_306 146.76355 104.14753 100.115753 lh
10_307 145.956543 103.939529 99.789749 lh
10_308 144.993546 103.720535 99.511749 lh
10_309 140.690536 103.512535 99.658752 lh
10_310 147.233536 104.909531 99.796753 lh
10_311 143.467545 104.38353 98.814758 lh
10_312 143.842545 103.506531 99.357758 lh
10_313 142.99855 103.72953 99.181747 lh
10_314 142.959549 103.120529 99.58075 lh
10_315 142.083542 103.409531 99.462753 lh
10_316 139.436539 103.732529 99.861755 lh
