subcv ProbeID subcvName rgbx rgby rgbz A
10 10_366 Left-Thalamus-Proper 0 118 14 0
10 10_367 Left-Thalamus-Proper 0 118 14 0
10 10_368 Left-Thalamus-Proper 0 118 14 0
10 10_369 Left-Thalamus-Proper 0 118 14 0
10 10_370 Left-Thalamus-Proper 0 118 14 0
10 10_371 Left-Thalamus-Proper 0 118 14 0
10 10_372 Left-Thalamus-Proper 0 118 14 0
10 10_373 Left-Thalamus-Proper 0 118 14 0
10 10_374 Left-Thalamus-Proper 0 118 14 0
10 10_375 Left-Thalamus-Proper 0 118 14 0
10 10_376 Left-Thalamus-Proper 0 118 14 0
10 10_377 Left-Thalamus-Proper 0 118 14 0
10 10_378 Left-Thalamus-Proper 0 118 14 0
10 10_379 Left-Thalamus-Proper 0 118 14 0
10 10_380 Left-Thalamus-Proper 0 118 14 0
10 10_381 Left-Thalamus-Proper 0 118 14 0
10 10_382 Left-Thalamus-Proper 0 118 14 0
10 10_383 Left-Thalamus-Proper 0 118 14 0
10 10_384 Left-Thalamus-Proper 0 118 14 0
10 10_385 Left-Thalamus-Proper 0 118 14 0
10 10_386 Left-Thalamus-Proper 0 118 14 0
10 10_387 Left-Thalamus-Proper 0 118 14 0
10 10_388 Left-Thalamus-Proper 0 118 14 0
10 10_389 Left-Thalamus-Proper 0 118 14 0
10 10_390 Left-Thalamus-Proper 0 118 14 0
10 10_391 Left-Thalamus-Proper 0 118 14 0
10 10_392 Left-Thalamus-Proper 0 118 14 0
10 10_393 Left-Thalamus-Proper 0 118 14 0
10 10_394 Left-Thalamus-Proper 0 118 14 0
10 10_395 Left-Thalamus-Proper 0 118 14 0
10 10_396 Left-Thalamus-Proper 0 118 14 0
10 10_397 Left-Thalamus-Proper 0 118 14 0
10 10_398 Left-Thalamus-Proper 0 118 14 0
10 10_399 Left-Thalamus-Proper 0 118 14 0
10 10_400 Left-Thalamus-Proper 0 118 14 0
10 10_401 Left-Thalamus-Proper 0 118 14 0
10 10_402 Left-Thalamus-Proper 0 118 14 0
10 10_403 Left-Thalamus-Proper 0 118 14 0
10 10_404 Left-Thalamus-Proper 0 118 14 0
10 10_405 Left-Thalamus-Proper 0 118 14 0
10 10_406 Left-Thalamus-Proper 0 118 14 0
10 10_407 Left-Thalamus-Proper 0 118 14 0
10 10_408 Left-Thalamus-Proper 0 118 14 0
10 10_409 Left-Thalamus-Proper 0 118 14 0
10 10_410 Left-Thalamus-Proper 0 118 14 0
10 10_411 Left-Thalamus-Proper 0 118 14 0
10 10_412 Left-Thalamus-Proper 0 118 14 0
10 10_413 Left-Thalamus-Proper 0 118 14 0
10 10_414 Left-Thalamus-Proper 0 118 14 0
10 10_415 Left-Thalamus-Proper 0 118 14 0
10 10_416 Left-Thalamus-Proper 0 118 14 0
10 10_417 Left-Thalamus-Proper 0 118 14 0
10 10_418 Left-Thalamus-Proper 0 118 14 0
